N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
144,현대엘리베이,"46,650","1,350",+2.98%,"5,000","19,040","40,815",28.27,"534,916",19.70,9.78,
145,대웅,"32,600",150,+0.46%,500,"18,954","58,142",5.08,"78,811",19.27,15.10,
146,효성,"88,100",700,+0.80%,"5,000","18,564","21,071",8.72,"61,253",-35.18,-2.26,
147,LS ELECTRIC,"61,000","1,400",+2.35%,"5,000","18,300","30,000",13.98,"93,848",21.49,6.15,
148,KODEX 레버리지,"26,110",60,+0.23%,0,"18,225","69,800",3.80,"14,722,171",N/A,N/A,
149,한국앤컴퍼니,"19,450",700,+3.73%,500,"18,092","93,020",8.64,"324,793",10.68,5.08,
150,효성첨단소재,"401,500","13,500",-3.25%,"5,000","17,987","4,480",10.53,"108,174","22,305.60",0.03,
151,아이에스동서,"57,900","1,100",+1.94%,500,"17,887","30,893",5.35,"61,390",14.40,10.92,
152,영원무역,"40,150",0,0.00%,500,"17,791","44,311",25.29,"30,712",12.05,8.03,
153,프레스티지바이오파마,"29,550",750,-2.48%,0,"17,758","60,096",0.00,"380,967",N/A,N/A,
154,농심,"285,500","4,500",+1.60%,"5,000","17,366","6,083",16.22,"22,695",11.69,7.50,
155,KODEX 삼성그룹,"9,875",40,+0.41%,0,"17,202","174,200",0.03,"86,387",N/A,N/A,
156,녹십자홀딩스,"35,850",600,+1.70%,500,"16,860","47,028",5.21,"89,918",10.39,19.74,
157,코오롱인더,"60,300","2,400",-3.83%,"5,000","16,268","26,979",17.44,"345,929",8.82,9.70,
158,종근당,"138,500","1,500",+1.09%,"2,500","15,825","11,426",9.05,"59,026",17.27,17.88,
159,부광약품,"23,550",150,+0.64%,500,"15,269","64,838",5.12,"230,612",-233.17,-2.46,
160,대웅제약,"131,000","2,500",+1.95%,"2,500","15,178","11,587",4.63,"34,043",118.98,2.38,
161,롯데정밀화학,"57,100",300,-0.52%,"5,000","14,732","25,800",22.79,"44,280",7.41,12.65,
162,KODEX 200TR,"13,510",30,+0.22%,0,"14,692","108,750",0.09,"8,964",N/A,N/A,
163,신세계인터내셔날,"205,000","2,500",-1.20%,"5,000","14,637","7,140",3.46,"22,984",28.75,8.24,
164,LG생활건강우,"694,000","1,000",-0.14%,"5,000","14,572","2,100",84.09,931,15.42,N/A,
165,KODEX MSCI Korea TR,"13,405",20,+0.15%,0,"14,370","107,200",0.00,"108,513",N/A,N/A,
166,솔루스첨단소재,"46,200",100,+0.22%,100,"14,132","30,590",5.73,"77,314",-165.59,-5.10,
167,NHN,"72,100",200,+0.28%,500,"14,106","19,565",11.02,"19,615",65.78,1.35,
168,DL,"90,600",700,+0.78%,"5,000","13,990","15,441",23.16,"133,896",6.93,11.84,
169,DGB금융지주,"8,210",10,-0.12%,"5,000","13,887","169,146",48.56,"531,602",4.19,7.31,
170,KG동부제철,"13,850",800,+6.13%,"5,000","13,851","100,009",0.19,"5,384,929",20.73,7.18,
171,SK네트웍스,"5,560",20,-0.36%,"2,500","13,799","248,188",12.15,"455,064",40.00,1.63,
172,KODEX 종합채권(AA-이상)액티브,"109,045",15,+0.01%,0,"13,609","12,480",0.00,"1,035",N/A,N/A,
173,한전KPS,"29,950",700,+2.39%,200,"13,478","45,000",9.79,"372,010",15.48,8.23,
174,솔루엠,"27,450",950,+3.58%,500,"13,476","49,092",0.13,"1,493,287",27.95,43.26,
175,한국콜마,"56,900",200,-0.35%,500,"13,019","22,881",29.09,"66,921",8.12,29.27,
176,동국제강,"13,450","1,250",+10.25%,"5,000","12,836","95,433",26.05,"3,076,531",19.72,3.35,
177,KODEX 2차전지산업,"17,185",40,+0.23%,0,"12,820","74,600",0.06,"386,574",N/A,N/A,
178,롯데관광개발,"18,400",550,-2.90%,500,"12,747","69,276",4.63,"550,677",-15.55,-30.43,
179,롯데리츠,"5,210",40,+0.77%,500,"12,659","242,969",9.68,"570,153",59.89,1.80,
180,동원시스템즈,"49,350",450,-0.90%,"5,000","12,643","25,619",1.46,"32,364",24.81,10.97,
181,LG상사,"32,200","1,900",+6.27%,"5,000","12,481","38,760",26.16,"533,339",4.19,23.72,
182,더블유게임즈,"67,800","1,300",+1.95%,500,"12,458","18,375",12.92,"116,918",11.07,16.94,
183,롯데칠성,"138,500","11,500",+9.06%,500,"12,431","8,975",10.42,"100,235",-99.14,-1.00,
184,코스맥스,"123,500","1,000",-0.80%,500,"12,411","10,050",23.83,"43,885",58.06,6.23,
185,JB금융지주,"6,260",20,-0.32%,"5,000","12,331","196,983",40.19,"153,377",3.56,10.36,
186,KBSTAR 200,"42,085",75,+0.18%,0,"12,205","29,000",0.01,"108,105",N/A,N/A,
187,TIGER 단기통안채,"100,135",10,+0.01%,0,"12,155","12,139",0.97,448,N/A,N/A,
188,다우기술,"26,900",0,0.00%,500,"12,069","44,867",22.22,"87,845",N/A,14.62,
189,이노션,"59,800",200,-0.33%,500,"11,960","20,000",30.37,"18,409",18.84,8.28,
190,한올바이오파마,"22,800",150,-0.65%,500,"11,911","52,241",6.20,"92,499",60.32,12.29,
191,한미반도체,"24,000",100,-0.41%,200,"11,870","49,460",6.23,"204,683",24.87,21.03,
192,SK디스커버리,"62,000","3,200",-4.91%,"5,000","11,803","19,038",10.60,"75,889",4.74,14.71,
193,지누스,"80,500","1,100",-1.35%,500,"11,597","14,407",21.96,"16,307",27.64,11.61,
194,KODEX 단기채권PLUS,"103,030",0,0.00%,0,"11,573","11,233",0.00,"2,218",N/A,N/A,
195,LG전자우,"66,600","1,500",-2.20%,"5,000","11,446","17,186",39.93,"80,491",6.12,N/A,
196,KODEX 인버스,"3,950",0,0.00%,0,"11,423","289,200",1.59,"15,089,138",N/A,N/A,
197,아시아나항공,"15,300",300,-1.92%,"5,000","11,385","74,412",19.68,"395,294",-1.32,-90.67,
198,영진약품,"6,200",10,-0.16%,500,"11,339","182,893",4.44,"181,598","-6,200.00",-0.12,
199,미원상사,"222,500","6,000",-2.63%,500,"11,058","4,970",4.47,"25,837",21.47,21.07,
200,화승엔터프라이즈,"18,150","1,050",+6.14%,500,"10,989","60,545",3.72,"510,172",27.42,9.26,
